Id,CreatedDate,ApexClass__c,RequestUrl__c,RequestBody__c,ResponseBody__c
a12JO000000MJX3YAO,2026-05-08T08:13:11.000+0000,GdMemberApiControllerV1,/gd/v1/member,"{""AccountId"":""1000"",""MemberNo__c"":""269999800214"",""Lastname"":""포인트테스트"",""Birthdate"":""20000101"",""LegalBirthdate__c"":""000101"",""GenderIdentity"":""01"",""Phone"":""01022223333"",""MobilePhone"":""01022223333"",""Email"":"""",""Grade__c"":""01"",""IsMarried__c"":false,""WeddingAnniversaryDate__c"":"""",""IsEmailAgreed__c"":false,""IsSMSAgreed__c"":true,""IsMagazineSubscribed__c"":false,""IsMagazineCatalog__c"":false,""MailingStreet"":"""",""MailingPostalCode"":"""",""IsMobileVerified__c"":null,""MagazineSubscriptionSeason__c"":"""",""MagazineSubscriptionDate__c"":""""}","{
  ""success"" : true,
  ""message"" : ""회원 등록 성공."",
  ""data"" : {
    ""ChangeReason"" : ""회원 등록"",
    ""LoyaltyProgramMemberId"" : ""0lMJO00000035uP2AQ"",
    ""TargetTierName"" : ""GIP"",
    ""MagazineSubscriptionDate__c"" : """",
    ""MagazineSubscriptionSeason__c"" : """",
    ""IsMobileVerified__c"" : null,
    ""MailingPostalCode"" : """",
    ""MailingStreet"" : """",
    ""IsMagazineCatalog__c"" : false,
    ""IsMagazineSubscribed__c"" : false,
    ""IsSMSAgreed__c"" : true,
    ""IsEmailAgreed__c"" : false,
    ""WeddingAnniversaryDate__c"" : """",
    ""IsMarried__c"" : false,
    ""Grade__c"" : ""01"",
    ""Email"" : """",
    ""MobilePhone"" : ""01022223333"",
    ""Phone"" : ""01022223333"",
    ""GenderIdentity"" : ""01"",
    ""LegalBirthdate__c"" : ""000101"",
    ""Birthdate"" : ""20000101"",
    ""Lastname"" : ""포인트테스트"",
    ""MemberNo__c"" : ""269999800214"",
    ""AccountId"" : ""1000""
  },
  ""code"" : 200
}"
a12JO000000MHlOYAW,2026-05-08T08:13:12.000+0000,ErpAsyncJob,callout:GoldenDewApiNC/Crm/CouponDetail,"{""couponDetailModels"":[{""no_mbr"":""269999800214"",""no_man_coupon_mil"":""64KSIN30"",""no_man_coupon"":""COP2026MY0014"",""id_insert"":""milvus""},{""no_mbr"":""269999800214"",""no_man_coupon_mil"":""EAGMJLR1"",""no_man_coupon"":""COP2026MY0017"",""id_insert"":""milvus""}]}",
a12JO000000MGNvYAO,2026-05-08T08:13:14.000+0000,GdMemberHelpInfoApiControllerV1,"{""MemberNo__c"":""269999800214""}",,"{
  ""success"" : true,
  ""message"" : ""회원 포인트 총합 조회 성공"",
  ""data"" : {
    ""TotalPointsBalance"" : 0
  },
  ""code"" : 200
}"
a12JO000000MJYfYAO,2026-05-08T08:13:15.000+0000,GdMemberHelpInfoApiControllerV1,"{""MemberNo__c"":""269999800214""}",,"{
  ""success"" : true,
  ""message"" : ""회원 포인트 총합 조회 성공"",
  ""data"" : {
    ""TotalPointsBalance"" : 0
  },
  ""code"" : 200
}"
a12JO000000MHlSYAW,2026-05-08T08:14:16.000+0000,GdSaleApiControllerV1,/gd/v1/sale,"{""AccountId"":""1000"",""StoreCode__c"":""99998"",""MemberNo__c"":""269999800214"",""SaleNo__c"":""SAL202605070289"",""ActualPaymentAmount__c"":40000000.0,""EndDate"":""20260507"",""SaleStatus__c"":""01"",""PromotionNo__c"":""PRO202604161041"",""OrderItem"":[{""SaleSeqNo__c"":""1"",""OrderNo__c"":null,""ProductCode"":""2A2600001"",""Quantity"":80,""isExclude"":false,""NetSalesUnitPrice__c"":500000.0000,""DiscountRate__c"":0.0000}],""TransactionJournal"":[{""DepositNo__c"":""DEP202605080312"",""DeposiSeqNo__c"":""1"",""ActivityDate"":""20260507"",""PaymentMethod"":""01"",""DepositType__c"":""02"",""TransactionAmount"":40000000.0000,""CouponNo"":"""",""OrderNo__c"":null}]}","{
  ""success"" : true,
  ""message"" : ""판매 등록 완료"",
  ""data"" : {
    ""CreditPointList"" : [ {
      ""TX_REMARK"" : ""구매포인트|11cJO000001BAZlYAO|1.00"",
      ""PT_TARGET"" : 400000.00,
      ""NO_SAL"" : null,
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NO_MBR"" : ""269999800214"",
      ""NO_GRADE_ADVAN"" : ""01"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:14:15"",
      ""DT_SAVE_PLAN"" : null,
      ""DT_LIMIT_START"" : ""2026-05-07 09:00:00"",
      ""DT_LIMIT_END"" : ""2028-05-07"",
      ""DT_DESTROY_PLAN"" : ""2028-05-08"",
      ""CD_TYPE_SAVE"" : ""Credit"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_JOURNAL"" : ""05wJO0000004F5JYAU"",
      ""AM_SAL"" : 40000000.0
    }, {
      ""TX_REMARK"" : ""사은포인트|11cJO000001BAY9YAO|3.00"",
      ""PT_TARGET"" : 1200000.00,
      ""NO_SAL"" : null,
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NO_MBR"" : ""269999800214"",
      ""NO_GRADE_ADVAN"" : ""01"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:14:15"",
      ""DT_SAVE_PLAN"" : null,
      ""DT_LIMIT_START"" : ""2026-05-07 09:00:00"",
      ""DT_LIMIT_END"" : ""2028-05-07"",
      ""DT_DESTROY_PLAN"" : ""2028-05-08"",
      ""CD_TYPE_SAVE"" : ""Credit"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_JOURNAL"" : ""05wJO0000004F5KYAU"",
      ""AM_SAL"" : 40000000.0
    } ],
    ""oiList"" : [ {
      ""attributes"" : {
        ""type"" : ""OrderItem"",
        ""url"" : ""/services/data/v66.0/sobjects/OrderItem/802JO0000052txJYAQ""
      },
      ""OrderId"" : ""801JO00000IAEyqYAH"",
      ""PricebookEntryId"" : ""01uJO000001R0w4YAC"",
      ""Quantity"" : 80,
      ""UnitPrice"" : 500000,
      ""SaleSeqNo__c"" : ""1"",
      ""SaleItemNo__c"" : ""801JO00000IAEyqYAH-1"",
      ""IsExclude__c"" : false,
      ""NetSalesUnitPrice__c"" : 500000.0000,
      ""DiscountRate__c"" : 0.0000,
      ""Id"" : ""802JO0000052txJYAQ""
    } ],
    ""storeType"" : ""09"",
    ""storeTypeFour"" : ""NULL"",
    ""orderId"" : ""801JO00000IAEyqYAH"",
    ""TransactionJournal"" : [ {
      ""OrderNo__c"" : null,
      ""CouponNo"" : """",
      ""TransactionAmount"" : 40000000.0000,
      ""DepositType__c"" : ""02"",
      ""PaymentMethod"" : ""01"",
      ""ActivityDate"" : ""20260507"",
      ""DeposiSeqNo__c"" : ""1"",
      ""DepositNo__c"" : ""DEP202605080312""
    } ],
    ""OrderItem"" : [ {
      ""DiscountRate__c"" : 0.0000,
      ""NetSalesUnitPrice__c"" : 500000.0000,
      ""isExclude"" : false,
      ""Quantity"" : 80,
      ""ProductCode"" : ""2A2600001"",
      ""OrderNo__c"" : null,
      ""SaleSeqNo__c"" : ""1""
    } ],
    ""PromotionNo__c"" : ""PRO202604161041"",
    ""SaleStatus__c"" : ""01"",
    ""EndDate"" : ""20260507"",
    ""ActualPaymentAmount__c"" : 40000000.0,
    ""SaleNo__c"" : ""SAL202605070289"",
    ""MemberNo__c"" : ""269999800214"",
    ""StoreCode__c"" : ""99998"",
    ""AccountId"" : ""1000""
  },
  ""code"" : 200
}"
a12JO000000MIPjYAO,2026-05-08T08:14:26.000+0000,GdMemberHelpInfoApiControllerV1,"{""MemberNo__c"":""269999800214""}",,"{
  ""success"" : true,
  ""message"" : ""회원도움정보 조회 성공"",
  ""data"" : {
    ""CsList"" : [ ],
    ""UserDestoryHistoryList"" : [ ],
    ""AccrualHistoryList"" : [ {
      ""YM_CREATE"" : ""202605"",
      ""PT_USE_SALE_COUPON"" : 0,
      ""PT_USE_SALE"" : 0,
      ""PT_USE"" : 0,
      ""PT_TARGET"" : 400000,
      ""PT_SAVE_PLAN"" : 400000,
      ""PT_SAVE"" : 400000,
      ""PT_DESTROY"" : 0,
      ""NO_SAL"" : ""SAL202605070289"",
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NM_TYPE_SAVE"" : ""구매 시 포인트 지급"",
      ""NM_TYPE_POINT"" : ""구매포인트"",
      ""DT_SAVE_PLAN"" : ""20260507"",
      ""DT_SAVE"" : ""20260507"",
      ""DT_LIMIT_START"" : ""20260507"",
      ""DT_LIMIT_END"" : ""20280507"",
      ""DT_DESTROY_PLAN"" : ""20280508"",
      ""DT_DESTROY_DEL_SALE"" : """",
      ""AM_SAL"" : 40000000
    }, {
      ""YM_CREATE"" : ""202605"",
      ""PT_USE_SALE_COUPON"" : 0,
      ""PT_USE_SALE"" : 0,
      ""PT_USE"" : 0,
      ""PT_TARGET"" : 1200000,
      ""PT_SAVE_PLAN"" : 1200000,
      ""PT_SAVE"" : 1200000,
      ""PT_DESTROY"" : 0,
      ""NO_SAL"" : ""SAL202605070289"",
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NM_TYPE_SAVE"" : ""구매 시 포인트 지급"",
      ""NM_TYPE_POINT"" : ""사은포인트"",
      ""DT_SAVE_PLAN"" : ""20260507"",
      ""DT_SAVE"" : ""20260507"",
      ""DT_LIMIT_START"" : ""20260507"",
      ""DT_LIMIT_END"" : ""20280507"",
      ""DT_DESTROY_PLAN"" : ""20280508"",
      ""DT_DESTROY_DEL_SALE"" : """",
      ""AM_SAL"" : 40000000
    } ],
    ""CouponList"" : [ {
      ""TX_COUPON"" : """",
      ""RT_DISC"" : 0,
      ""NO_MAN_COUPON"" : ""COP2026MY0014"",
      ""NO_COUPON"" : ""64KSIN30"",
      ""NM_RESPON"" : ""밀버스"",
      ""NM_DEPT"" : ""밀버스"",
      ""NM_COUPON"" : ""[TEST] 신규가입쿠폰_아울렛"",
      ""ID_INSERT"" : ""milvus"",
      ""DTS_INSERT"" : ""20260508171311"",
      ""DT_USE"" : """",
      ""DT_STR_EXP"" : ""20260501"",
      ""DT_ISSUE"" : ""20260508"",
      ""DT_END_EXP"" : ""20280501"",
      ""DS_MON_EXP"" : 0,
      ""CD_TYPE_DAY_EXP"" : ""02"",
      ""CD_TYPE_COUPON"" : ""03"",
      ""CD_STAT_COUPON"" : ""02"",
      ""CD_BRAND"" : ""01"",
      ""AM_DISC"" : 10000
    }, {
      ""TX_COUPON"" : """",
      ""RT_DISC"" : 3,
      ""NO_MAN_COUPON"" : ""COP2026MY0017"",
      ""NO_COUPON"" : ""EAGMJLR1"",
      ""NM_RESPON"" : ""밀버스"",
      ""NM_DEPT"" : ""밀버스"",
      ""NM_COUPON"" : ""[TEST] 신규가입쿠폰_백화점"",
      ""ID_INSERT"" : ""milvus"",
      ""DTS_INSERT"" : ""20260508171311"",
      ""DT_USE"" : """",
      ""DT_STR_EXP"" : ""20260501"",
      ""DT_ISSUE"" : ""20260508"",
      ""DT_END_EXP"" : ""20280531"",
      ""DS_MON_EXP"" : 0,
      ""CD_TYPE_DAY_EXP"" : ""02"",
      ""CD_TYPE_COUPON"" : ""03"",
      ""CD_STAT_COUPON"" : ""02"",
      ""CD_BRAND"" : ""01"",
      ""AM_DISC"" : 0
    } ],
    ""TotalPointsBalance"" : 1600000.0,
    ""GiftList"" : [ ],
    ""HistoryUpdatedList"" : [ {
      ""changedBy"" : ""milvus"",
      ""newValue"" : null,
      ""oldValue"" : null,
      ""field"" : ""created"",
      ""changeTarget"" : ""LoyaltyProgramMember"",
      ""changeDate"" : ""2026-05-08T08:13:11.000Z""
    }, {
      ""changedBy"" : ""milvus"",
      ""newValue"" : null,
      ""oldValue"" : null,
      ""field"" : ""created"",
      ""changeTarget"" : ""Contact"",
      ""changeDate"" : ""2026-05-08T08:13:10.000Z""
    } ],
    ""ConsultationList"" : [ ],
    ""CustomerServiceHistory"" : [ ],
    ""WorksList"" : [ ],
    ""OrdersList"" : [ {
      ""DeleteDateTime"" : null,
      ""ActivatedDate"" : null,
      ""InsertId"" : null,
      ""OrderReferenceNumber"" : null,
      ""SaleStatus"" : ""01"",
      ""OrderType"" : null,
      ""SaleEndDate"" : ""2026-05-07"",
      ""SaleNo"" : ""SAL202605070289"",
      ""StoreCode"" : ""001JO00000GgPDjYAN"",
      ""ActualPaymentAmount"" : 40000000.0000,
      ""TotalAmount"" : 40000000,
      ""Status"" : ""saleSuccess"",
      ""OrderDate"" : ""2026-05-07"",
      ""OrderName"" : null
    } ],
    ""Depositlist"" : [ {
      ""PromotionId"" : ""0c8JO0000000XyTYAU"",
      ""TotalPromotionDiscount"" : null,
      ""JournalTypeName"" : ""Deposit"",
      ""Status"" : ""Processed"",
      ""Quantity"" : null,
      ""PaymentMethodName"" : ""현금"",
      ""PaymentMethodCode"" : ""01"",
      ""TransactionAmount"" : 40000000,
      ""JournalReason"" : null,
      ""DepositSeqNo"" : ""1"",
      ""DepositNo"" : ""DEP202605080312-1"",
      ""DepositType"" : ""02"",
      ""Brand"" : null
    } ]
  },
  ""code"" : 200
}"
a12JO000000MJlZYAW,2026-05-08T08:15:15.000+0000,GdSaleDepositApiControllerV1,"{""DeposiSeqNo__c"":""1"",""DepositNo__c"":""DEP202605080312""}",,"{
  ""success"" : true,
  ""message"" : ""판매 입금 삭제 삭제 완료"",
  ""data"" : {
    ""CancelCoupon"" : null,
    ""CancelPointsCreditedList"" : [ {
      ""PT_USE"" : 400000.00,
      ""NO_SAL_RTN"" : null,
      ""NO_SAL"" : ""SAL202605070289"",
      ""NO_MBR"" : ""269999800214"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:15:15"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_RESON"" : null,
      ""CD_LEDGER"" : ""05wJO0000004F6vYAE"",
      ""CD_JOURNAL"" : ""05wJO0000004F5JYAU"",
      ""AM_SAL"" : null
    }, {
      ""PT_USE"" : 1200000.00,
      ""NO_SAL_RTN"" : null,
      ""NO_SAL"" : ""SAL202605070289"",
      ""NO_MBR"" : ""269999800214"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:15:15"",
      ""CD_TYPE_POINT"" : ""06"",
      ""CD_RESON"" : null,
      ""CD_LEDGER"" : ""05wJO0000004F6wYAE"",
      ""CD_JOURNAL"" : ""05wJO0000004F5KYAU"",
      ""AM_SAL"" : null
    } ],
    ""CancelPointList"" : null
  },
  ""code"" : 200
}"
a12JO000000MJs4YAG,2026-05-08T08:15:56.000+0000,GdSaleApiControllerV1,/gd/v1/sale,"{""AccountId"":""1000"",""StoreCode__c"":""99998"",""MemberNo__c"":""269999800214"",""SaleNo__c"":""SAL202605080277"",""ActualPaymentAmount__c"":250000000.0,""EndDate"":""20260508"",""SaleStatus__c"":""01"",""PromotionNo__c"":""PRO202604161041"",""OrderItem"":[{""SaleSeqNo__c"":""1"",""OrderNo__c"":null,""ProductCode"":""2A2600001"",""Quantity"":1,""isExclude"":false,""NetSalesUnitPrice__c"":250000000.0000,""DiscountRate__c"":0}],""TransactionJournal"":[{""DepositNo__c"":""DEP202605080313"",""DeposiSeqNo__c"":""1"",""ActivityDate"":""20260508"",""PaymentMethod"":""01"",""DepositType__c"":""02"",""TransactionAmount"":250000000.0000,""CouponNo"":"""",""OrderNo__c"":null}]}","{
  ""success"" : true,
  ""message"" : ""판매 등록 완료"",
  ""data"" : {
    ""CreditPointList"" : [ {
      ""TX_REMARK"" : ""구매포인트|11cJO000001BAZlYAO|1.00"",
      ""PT_TARGET"" : 2500000.00,
      ""NO_SAL"" : null,
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NO_MBR"" : ""269999800214"",
      ""NO_GRADE_ADVAN"" : ""01"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:15:55"",
      ""DT_SAVE_PLAN"" : null,
      ""DT_LIMIT_START"" : ""2026-05-08 09:00:00"",
      ""DT_LIMIT_END"" : ""2028-05-08"",
      ""DT_DESTROY_PLAN"" : ""2028-05-09"",
      ""CD_TYPE_SAVE"" : ""Credit"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_JOURNAL"" : ""05wJO0000004FBlYAM"",
      ""AM_SAL"" : 250000000.0
    }, {
      ""TX_REMARK"" : ""사은포인트|11cJO000001BAY9YAO|3.00"",
      ""PT_TARGET"" : 7500000.00,
      ""NO_SAL"" : null,
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NO_MBR"" : ""269999800214"",
      ""NO_GRADE_ADVAN"" : ""01"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:15:55"",
      ""DT_SAVE_PLAN"" : null,
      ""DT_LIMIT_START"" : ""2026-05-08 09:00:00"",
      ""DT_LIMIT_END"" : ""2028-05-08"",
      ""DT_DESTROY_PLAN"" : ""2028-05-09"",
      ""CD_TYPE_SAVE"" : ""Credit"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_JOURNAL"" : ""05wJO0000004FBmYAM"",
      ""AM_SAL"" : 250000000.0
    } ],
    ""oiList"" : [ {
      ""attributes"" : {
        ""type"" : ""OrderItem"",
        ""url"" : ""/services/data/v66.0/sobjects/OrderItem/802JO0000052ph7YAA""
      },
      ""OrderId"" : ""801JO00000IAC5mYAH"",
      ""PricebookEntryId"" : ""01uJO000001R0w4YAC"",
      ""Quantity"" : 1,
      ""UnitPrice"" : 500000,
      ""SaleSeqNo__c"" : ""1"",
      ""SaleItemNo__c"" : ""801JO00000IAC5mYAH-1"",
      ""IsExclude__c"" : false,
      ""NetSalesUnitPrice__c"" : 250000000.0000,
      ""DiscountRate__c"" : 0,
      ""Id"" : ""802JO0000052ph7YAA""
    } ],
    ""storeType"" : ""09"",
    ""storeTypeFour"" : ""NULL"",
    ""orderId"" : ""801JO00000IAC5mYAH"",
    ""TransactionJournal"" : [ {
      ""OrderNo__c"" : null,
      ""CouponNo"" : """",
      ""TransactionAmount"" : 250000000.0000,
      ""DepositType__c"" : ""02"",
      ""PaymentMethod"" : ""01"",
      ""ActivityDate"" : ""20260508"",
      ""DeposiSeqNo__c"" : ""1"",
      ""DepositNo__c"" : ""DEP202605080313""
    } ],
    ""OrderItem"" : [ {
      ""DiscountRate__c"" : 0,
      ""NetSalesUnitPrice__c"" : 250000000.0000,
      ""isExclude"" : false,
      ""Quantity"" : 1,
      ""ProductCode"" : ""2A2600001"",
      ""OrderNo__c"" : null,
      ""SaleSeqNo__c"" : ""1""
    } ],
    ""PromotionNo__c"" : ""PRO202604161041"",
    ""SaleStatus__c"" : ""01"",
    ""EndDate"" : ""20260508"",
    ""ActualPaymentAmount__c"" : 250000000.0,
    ""SaleNo__c"" : ""SAL202605080277"",
    ""MemberNo__c"" : ""269999800214"",
    ""StoreCode__c"" : ""99998"",
    ""AccountId"" : ""1000""
  },
  ""code"" : 200
}"
a12JO000000MJ7GYAW,2026-05-08T08:16:08.000+0000,GdSaleDepositApiControllerV1,"{""DeposiSeqNo__c"":""1"",""DepositNo__c"":""DEP202605080313""}",,"{
  ""success"" : true,
  ""message"" : ""판매 입금 삭제 삭제 완료"",
  ""data"" : {
    ""CancelCoupon"" : null,
    ""CancelPointsCreditedList"" : [ {
      ""PT_USE"" : 2500000.00,
      ""NO_SAL_RTN"" : null,
      ""NO_SAL"" : ""SAL202605080277"",
      ""NO_MBR"" : ""269999800214"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:16:08"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_RESON"" : null,
      ""CD_LEDGER"" : ""05wJO0000004FGbYAM"",
      ""CD_JOURNAL"" : ""05wJO0000004FBlYAM"",
      ""AM_SAL"" : null
    }, {
      ""PT_USE"" : 7500000.00,
      ""NO_SAL_RTN"" : null,
      ""NO_SAL"" : ""SAL202605080277"",
      ""NO_MBR"" : ""269999800214"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:16:08"",
      ""CD_TYPE_POINT"" : ""06"",
      ""CD_RESON"" : null,
      ""CD_LEDGER"" : ""05wJO0000004FGcYAM"",
      ""CD_JOURNAL"" : ""05wJO0000004FBmYAM"",
      ""AM_SAL"" : null
    } ],
    ""CancelPointList"" : null
  },
  ""code"" : 200
}"
a12JO000000MK08YAG,2026-05-08T08:16:52.000+0000,GdSaleApiControllerV1,/gd/v1/sale,"{""AccountId"":""1000"",""StoreCode__c"":""99998"",""MemberNo__c"":""269999800214"",""SaleNo__c"":""SAL202605070290"",""ActualPaymentAmount__c"":25000000.0,""EndDate"":""20260507"",""SaleStatus__c"":""01"",""PromotionNo__c"":""PRO202604161041"",""OrderItem"":[{""SaleSeqNo__c"":""1"",""OrderNo__c"":null,""ProductCode"":""2A2600001"",""Quantity"":1,""isExclude"":false,""NetSalesUnitPrice__c"":25000000.0000,""DiscountRate__c"":0}],""TransactionJournal"":[{""DepositNo__c"":""DEP202605080315"",""DeposiSeqNo__c"":""1"",""ActivityDate"":""20260507"",""PaymentMethod"":""01"",""DepositType__c"":""02"",""TransactionAmount"":25000000.0000,""CouponNo"":"""",""OrderNo__c"":null}]}","{
  ""success"" : true,
  ""message"" : ""판매 등록 완료"",
  ""data"" : {
    ""CreditPointList"" : [ {
      ""TX_REMARK"" : ""구매포인트|11cJO000001BAZlYAO|1.00"",
      ""PT_TARGET"" : 250000.00,
      ""NO_SAL"" : null,
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NO_MBR"" : ""269999800214"",
      ""NO_GRADE_ADVAN"" : ""01"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:16:52"",
      ""DT_SAVE_PLAN"" : null,
      ""DT_LIMIT_START"" : ""2026-05-07 09:00:00"",
      ""DT_LIMIT_END"" : ""2028-05-07"",
      ""DT_DESTROY_PLAN"" : ""2028-05-08"",
      ""CD_TYPE_SAVE"" : ""Credit"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_JOURNAL"" : ""05wJO0000004FIDYA2"",
      ""AM_SAL"" : 25000000.0
    }, {
      ""TX_REMARK"" : ""사은포인트|11cJO000001BAY9YAO|3.00"",
      ""PT_TARGET"" : 750000.00,
      ""NO_SAL"" : null,
      ""NO_PROM_MBR"" : ""PRO202604161041"",
      ""NO_MBR"" : ""269999800214"",
      ""NO_GRADE_ADVAN"" : ""01"",
      ""ID_INSERT"" : null,
      ""DTS_INSERT"" : ""2026-05-08 17:16:52"",
      ""DT_SAVE_PLAN"" : null,
      ""DT_LIMIT_START"" : ""2026-05-07 09:00:00"",
      ""DT_LIMIT_END"" : ""2028-05-07"",
      ""DT_DESTROY_PLAN"" : ""2028-05-08"",
      ""CD_TYPE_SAVE"" : ""Credit"",
      ""CD_TYPE_POINT"" : ""01"",
      ""CD_JOURNAL"" : ""05wJO0000004FIEYA2"",
      ""AM_SAL"" : 25000000.0
    } ],
    ""oiList"" : [ {
      ""attributes"" : {
        ""type"" : ""OrderItem"",
        ""url"" : ""/services/data/v66.0/sobjects/OrderItem/802JO0000052u5PYAQ""
      },
      ""OrderId"" : ""801JO00000IAFoLYAX"",
      ""PricebookEntryId"" : ""01uJO000001R0w4YAC"",
      ""Quantity"" : 1,
      ""UnitPrice"" : 500000,
      ""SaleSeqNo__c"" : ""1"",
      ""SaleItemNo__c"" : ""801JO00000IAFoLYAX-1"",
      ""IsExclude__c"" : false,
      ""NetSalesUnitPrice__c"" : 25000000.0000,
      ""DiscountRate__c"" : 0,
      ""Id"" : ""802JO0000052u5PYAQ""
    } ],
    ""storeType"" : ""09"",
    ""storeTypeFour"" : ""NULL"",
    ""orderId"" : ""801JO00000IAFoLYAX"",
    ""TransactionJournal"" : [ {
      ""OrderNo__c"" : null,
      ""CouponNo"" : """",
      ""TransactionAmount"" : 25000000.0000,
      ""DepositType__c"" : ""02"",
      ""PaymentMethod"" : ""01"",
      ""ActivityDate"" : ""20260507"",
      ""DeposiSeqNo__c"" : ""1"",
      ""DepositNo__c"" : ""DEP202605080315""
    } ],
    ""OrderItem"" : [ {
      ""DiscountRate__c"" : 0,
      ""NetSalesUnitPrice__c"" : 25000000.0000,
      ""isExclude"" : false,
      ""Quantity"" : 1,
      ""ProductCode"" : ""2A2600001"",
      ""OrderNo__c"" : null,
      ""SaleSeqNo__c"" : ""1""
    } ],
    ""PromotionNo__c"" : ""PRO202604161041"",
    ""SaleStatus__c"" : ""01"",
    ""EndDate"" : ""20260507"",
    ""ActualPaymentAmount__c"" : 25000000.0,
    ""SaleNo__c"" : ""SAL202605070290"",
    ""MemberNo__c"" : ""269999800214"",
    ""StoreCode__c"" : ""99998"",
    ""AccountId"" : ""1000""
  },
  ""code"" : 200
}"
